"id","biography","author_id","author_name","bibliography","transcript","token_sequence","token","story_act","sequence","character","role","storyline_no","parenthetic","storyline_title","storyline","notes","storyweaving_scene_no","storyweaving_scene","storyweaving_sequence","storyweaving_theme","character_scene","character_event","startdate","enddate"
"131","1",\N,\N,\N,\N,\N,\N,\N,"131",\N,\N,\N,\N,\N,"Katharina is shareholder of the Stadttheater Luzern, which is under construction.",\N,\N,\N,\N,\N,\N,\N,"1899-12-30 00:00:00",\N
"132","1","1071","1071","222","10","6126","6126","3","132","3","3",\N,\N," Inheritance disputes","Josef Morel, after much worries due to family issues, and herritage disputes, dies inexpectatly. Katharina has to restructurate her financial budget.","<br>",\N,\N,\N,\N,\N,\N,"1844-06-19 00:00:00",\N
"133","1","1071","1071","222","10","6145","6145","3","133","2","2",\N,\N," Bankrupcy and death of Josef Morel"," Bankrupcy and death of Josef Morel","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"134","1",\N,\N,\N,\N,\N,\N,\N,"134",\N,\N,\N,\N,\N,"Luzern: A modern, liberal constitutional proposal is rejected.",\N,\N,\N,\N,\N,\N,\N,"1905-01-06 00:00:00",\N
"135","1",\N,\N,\N,\N,\N,\N,\N,"135",\N,\N,\N,\N,\N,"Freischaarenzug (Volunteerism movement) defeated by  the government of Luzern.",\N,\N,\N,\N,\N,\N,\N,"1844-12-08 00:00:00",\N
"136","1",\N,\N,\N,\N,\N,\N,\N,"136",\N,\N,\N,\N,\N,"Sonderbund War.",\N,\N,\N,\N,\N,\N,\N,"1847-11-04 00:00:00","1847-11-29 00:00:00"
"137","1","1071","1071","222","10",\N,\N,"3","137","1","1",\N,\N," Women's business"," Women's business","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"138","1","1071","1071","222","10","6143","6143","3","138","1","1",\N,\N," Sonderbundskrieg, political engagement","Leave off of the debt to the Sonderbund.","<br>",\N,\N,\N,\N,\N,\N,"1905-01-25 00:00:00",\N
"139","1","1071","1071","222","10","6239","6239","3","139","1","1",\N,\N," Friendship with Robert Steiger","Jakob Rober Steiger, leader of the Volunteers is sentenced to death and locked in the ""Kesselturm"", Luzern.","<br>",\N,\N,\N,\N,\N,\N,"1905-01-18 00:00:00",\N
"140","1","1071","1071","222","10",\N,\N,"3","140","2","2",\N,\N," Josef's murder"," Josef's murder","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"141","1",\N,\N,\N,\N,\N,\N,\N,"141",\N,\N,\N,\N,\N,"Katharina participates as one of the ""Pfefferfrauen"" in Steiger's liberation.",\N,\N,\N,\N,\N,\N,\N,"1905-01-18 00:00:00",\N
"142","1",\N,\N,\N,\N,\N,\N,\N,"142",\N,\N,\N,\N,\N,"Katharina receives a thank you letter from Steiger. Katharina considers him in her testament.",\N,\N,\N,\N,\N,\N,\N,"1845-07-10 00:00:00",\N
"143","1","1071","1071","222","10","6160","6160","4","143","3","3",\N,\N,"Kaltbad"" mountain inn   
395 3 4        ","Katharina starts the manafement of the Berggasthof ""Kaltbad"" together with her foster daughter Katharina Peyer.","<br>",\N,\N,\N,\N,\N,\N,"1846-05-15 00:00:00",\N
"144","1",\N,\N,\N,\N,\N,\N,\N,"144",\N,\N,\N,\N,\N,"Fire in the ""Kaltbad"" destroys it cmpletly.",\N,\N,\N,\N,\N,\N,\N,"1849-09-20 00:00:00",\N
"145","1",\N,\N,\N,\N,\N,\N,\N,"145",\N,\N,\N,\N,\N,"Katharina has to remain in bed during one month after saving people and goods in the fire.",\N,\N,\N,\N,\N,\N,\N,"1849-09-20 00:00:00","1849-10-20 00:00:00"
"146","1","1071","1071","222","10","6199","6199","4","146","1","1",\N,\N," Hotel ""Schweizerhof""","Katharina start the management of the hotel ""Schweizerhof"" together with her nice Joséfin and Katharina Peyer.","<br>",\N,\N,\N,\N,\N,\N,"1849-11-01 00:00:00","1905-02-02 00:00:00"
"147","1","1071","1071","222","10",\N,\N,"4","147","1","1",\N,\N," Guests in ""Schweizerhof""","The hotel ""Schweizerhof"" opens as first Grand Hotel in Luzern.","<br>",\N,\N,\N,\N,\N,\N,"1905-01-18 00:00:00",\N
"148","1",\N,\N,\N,\N,\N,\N,\N,"148",\N,\N,\N,\N,\N,"Restructuration and amplification of the ""Schweizerhof"" according plans of Josef Placidus Segesser.",\N,\N,\N,\N,\N,\N,\N,"1905-01-27 00:00:00","1905-01-28 00:00:00"
"149","1",\N,\N,\N,\N,\N,\N,\N,"149",\N,\N,\N,\N,\N,"The Luzerner Tagblatt publishes a guest list of the ""Schweizerhof"".",\N,\N,\N,\N,\N,\N,\N,"1905-01-26 00:00:00",\N
"150","1",\N,\N,\N,\N,\N,\N,\N,"150",\N,\N,\N,\N,\N,"Queen Sophie of the Netherlads is guest at the Schweizerhof.",\N,\N,\N,\N,\N,\N,\N,"1853-07-01 00:00:00",\N
"151","1",\N,\N,\N,\N,\N,\N,\N,"151",\N,\N,\N,\N,\N,"King Leopold I. of Belgiu, is guest at the Schweizerhof.",\N,\N,\N,\N,\N,\N,\N,"1905-01-27 00:00:00",\N
"152","1",\N,\N,\N,\N,\N,\N,\N,"152",\N,\N,\N,\N,\N,"King Johann I. with family is guest at the Schweizerhof.",\N,\N,\N,\N,\N,\N,\N,"1905-01-30 00:00:00",\N
"153","1",\N,\N,\N,\N,\N,\N,\N,"153",\N,\N,\N,\N,\N,"Count Leo Tolstoi is guest at the Schweizerhof and writes about Luzern during his stage.",\N,\N,\N,\N,\N,\N,\N,"1905-01-30 00:00:00",\N
"154","1","1071","1071","222","10",\N,\N,"4","154","1","1",\N,\N," Sovereignty","Katharina writes in a letter how happy she is about her independence.","<br>",\N,\N,\N,\N,\N,\N,"1856-03-17 00:00:00",\N
"155","1","1071","1071","222","10","6213","6213","4","155","1","1",\N,\N," Public recognition: Sankt-Helena-Medail","Katharina recieves the ""Médaille de St. Hélène"" by Napoleon III.","<br>",\N,\N,\N,\N,\N,\N,"1905-01-31 00:00:00",\N
"156","1",\N,\N,\N,\N,\N,\N,\N,"156",\N,\N,\N,\N,\N,"The Luzerner Tagblatt recognizes Katharinas efforts during the Russian Campaign.",\N,\N,\N,\N,\N,\N,\N,"1905-01-31 00:00:00",\N
"157","1",\N,\N,\N,\N,\N,\N,\N,"157",\N,\N,\N,\N,\N,"The family Segesser sells the ""Schweizerhof"". ",\N,\N,\N,\N,\N,\N,\N,"1905-02-03 00:00:00",\N
"158","1",\N,\N,\N,\N,\N,\N,\N,"158",\N,\N,\N,\N,\N,"Katharina buys the Ziegelhütten-Liegenschaft from the Segessers. She starts a small guesthouse there, which she calls the ""Tuilerienhaus"" and is later known as ""Pension Morel"".",\N,\N,\N,\N,\N,\N,\N,"1905-02-03 00:00:00",\N
"159","1",\N,\N,\N,\N,\N,\N,\N,"159",\N,\N,\N,\N,\N,"Katharina announces her guesthouse in the Luzerner Presse.",\N,\N,\N,\N,\N,\N,\N,"1861-05-01 00:00:00",\N
"160","1",\N,\N,\N,\N,\N,\N,\N,"160",\N,\N,\N,\N,\N,"Processes against the opening of new guesthouses by the Stadtrath (City Council).",\N,\N,\N,\N,\N,\N,\N,"1862-06-18 00:00:00",\N
"161","1",\N,\N,\N,\N,\N,\N,\N,"161",\N,\N,\N,\N,\N,"An official protocol mentiones Katharina as legal owner of the guesthouse.",\N,\N,\N,\N,\N,\N,\N,"1862-06-26 00:00:00",\N
"162","1",\N,\N,\N,\N,\N,\N,\N,"162",\N,\N,\N,\N,\N,"Katharina's guesthouse is officially registered.",\N,\N,\N,\N,\N,\N,\N,"1864-07-21 00:00:00",\N
"163","1","1071","1071","222","10",\N,\N,"4","163","1","1",\N,\N," Teaching others in the Pension Morel"," Teaching others in the Pension Morel","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"164","1","1071","1071","222","10",\N,\N,"4","164","9","9",\N,\N," Progress in Luzern"," Progress in Luzern","<br>",\N,\N,\N,\N,\N,\N,\N,\N
"165","1",\N,\N,\N,\N,\N,\N,\N,"165",\N,\N,\N,\N,\N,"The Grand-Hotel National is opened.",\N,\N,\N,\N,\N,\N,\N,"1905-02-12 00:00:00",\N
"166","1",\N,\N,\N,\N,\N,\N,\N,"166",\N,\N,\N,\N,\N,"Katharina is asked to run the ""National"", but she rejects. She is ill of a lung infection.",\N,\N,\N,\N,\N,\N,\N,\N,\N
"167","1","1071","1071","222","10",\N,\N,"4","167","3","3",\N,\N," Katharina's death","Katharina Morel dies at the age of 86 years.","<br>",\N,\N,\N,\N,\N,\N,"1876-03-07 00:00:00",\N
"168","1","1071","1071","222","10",\N,\N,"4","168","1","1",\N,\N," Katharina's bequest"," Katharina's bequest","<br>",\N,\N,\N,\N,\N,\N,\N,\N
